path,filename,class_name,label,width,height,mode,split
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_153.jpg,Paper_153.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Organic/Organic_024.jpg,Organic_024.jpg,Organic,3,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Plastic/Plastic_176.jpg,Plastic_176.jpg,Plastic,5,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_050.jpg,Metal_050.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_029.jpg,Paper_029.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Plastic/Plastic_051.jpg,Plastic_051.jpg,Plastic,5,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_106.jpg,B3_106.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_095.jpg,Paper_095.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Organic/Organic_128.jpg,Organic_128.jpg,Organic,3,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_120.jpg,Metal_120.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Organic/Organic_080.jpg,Organic_080.jpg,Organic,3,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Plastic/Plastic_191.jpg,Plastic_191.jpg,Plastic,5,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Organic/Organic_028.jpg,Organic_028.jpg,Organic,3,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Glass/Glass_177.jpg,Glass_177.jpg,Glass,1,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Plastic/Plastic_040.jpg,Plastic_040.jpg,Plastic,5,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_150.jpg,B3_150.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Plastic/Plastic_113.jpg,Plastic_113.jpg,Plastic,5,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Plastic/Plastic_150.jpg,Plastic_150.jpg,Plastic,5,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_068.jpg,Metal_068.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_100.jpg,Paper_100.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_157.jpg,Paper_157.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Plastic/Plastic_111.jpg,Plastic_111.jpg,Plastic,5,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Organic/Organic_159.jpg,Organic_159.jpg,Organic,3,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_166.jpg,B3_166.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Glass/Glass_184.jpg,Glass_184.jpg,Glass,1,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_170.jpg,Paper_170.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Glass/Glass_137.jpg,Glass_137.jpg,Glass,1,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Glass/Glass_166.jpg,Glass_166.jpg,Glass,1,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_154.jpg,Paper_154.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_032.jpg,B3_032.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_167.jpg,Metal_167.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_055.jpg,B3_055.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Organic/Organic_060.jpg,Organic_060.jpg,Organic,3,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_098.jpg,B3_098.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Organic/Organic_101.jpg,Organic_101.jpg,Organic,3,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_132.jpg,B3_132.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_107.jpg,Metal_107.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_124.jpg,Paper_124.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_026.jpg,Paper_026.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_181.jpg,Paper_181.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_004.jpg,B3_004.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Glass/Glass_199.jpg,Glass_199.jpg,Glass,1,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_011.jpg,Metal_011.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Glass/Glass_005.jpg,Glass_005.jpg,Glass,1,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_188.jpg,Paper_188.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Glass/Glass_111.jpg,Glass_111.jpg,Glass,1,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_118.jpg,Paper_118.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Glass/Glass_150.jpg,Glass_150.jpg,Glass,1,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_038.jpg,Metal_038.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_056.jpg,Paper_056.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_092.jpg,Metal_092.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Glass/Glass_188.jpg,Glass_188.jpg,Glass,1,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_129.jpg,Metal_129.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_195.jpg,Metal_195.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Plastic/Plastic_118.jpg,Plastic_118.jpg,Plastic,5,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_181.jpg,Metal_181.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_163.jpg,Metal_163.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Glass/Glass_195.jpg,Glass_195.jpg,Glass,1,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Plastic/Plastic_055.jpg,Plastic_055.jpg,Plastic,5,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Organic/Organic_042.jpg,Organic_042.jpg,Organic,3,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Glass/Glass_012.jpg,Glass_012.jpg,Glass,1,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_059.jpg,Metal_059.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_020.jpg,Paper_020.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_180.jpg,Paper_180.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_188.jpg,Metal_188.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_038.jpg,B3_038.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Glass/Glass_131.jpg,Glass_131.jpg,Glass,1,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Plastic/Plastic_166.jpg,Plastic_166.jpg,Plastic,5,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Glass/Glass_098.jpg,Glass_098.jpg,Glass,1,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_068.jpg,B3_068.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Glass/Glass_087.jpg,Glass_087.jpg,Glass,1,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_134.jpg,B3_134.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_080.jpg,Paper_080.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Plastic/Plastic_032.jpg,Plastic_032.jpg,Plastic,5,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Organic/Organic_138.jpg,Organic_138.jpg,Organic,3,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_027.jpg,B3_027.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_186.jpg,Paper_186.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Plastic/Plastic_002.jpg,Plastic_002.jpg,Plastic,5,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_154.jpg,B3_154.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Glass/Glass_144.jpg,Glass_144.jpg,Glass,1,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Organic/Organic_112.jpg,Organic_112.jpg,Organic,3,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_081.jpg,B3_081.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_005.jpg,Metal_005.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_082.jpg,Paper_082.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_085.jpg,Metal_085.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_193.jpg,B3_193.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Glass/Glass_064.jpg,Glass_064.jpg,Glass,1,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_129.jpg,Paper_129.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_055.jpg,Metal_055.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Organic/Organic_194.jpg,Organic_194.jpg,Organic,3,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_077.jpg,Paper_077.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Organic/Organic_073.jpg,Organic_073.jpg,Organic,3,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_119.jpg,Paper_119.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Glass/Glass_079.jpg,Glass_079.jpg,Glass,1,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_083.jpg,B3_083.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_149.jpg,B3_149.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Organic/Organic_118.jpg,Organic_118.jpg,Organic,3,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_071.jpg,Paper_071.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Glass/Glass_135.jpg,Glass_135.jpg,Glass,1,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_129.jpg,B3_129.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Organic/Organic_134.jpg,Organic_134.jpg,Organic,3,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_108.jpg,B3_108.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Organic/Organic_110.jpg,Organic_110.jpg,Organic,3,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Plastic/Plastic_084.jpg,Plastic_084.jpg,Plastic,5,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_123.jpg,B3_123.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_054.jpg,Paper_054.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Glass/Glass_151.jpg,Glass_151.jpg,Glass,1,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Organic/Organic_022.jpg,Organic_022.jpg,Organic,3,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Organic/Organic_119.jpg,Organic_119.jpg,Organic,3,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Plastic/Plastic_090.jpg,Plastic_090.jpg,Plastic,5,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_154.jpg,Metal_154.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Organic/Organic_076.jpg,Organic_076.jpg,Organic,3,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_169.jpg,Paper_169.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_050.jpg,Paper_050.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Glass/Glass_054.jpg,Glass_054.jpg,Glass,1,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_015.jpg,Metal_015.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_053.jpg,Metal_053.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Plastic/Plastic_124.jpg,Plastic_124.jpg,Plastic,5,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Glass/Glass_169.jpg,Glass_169.jpg,Glass,1,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_151.jpg,Paper_151.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_172.jpg,Paper_172.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_026.jpg,Metal_026.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_017.jpg,Metal_017.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Plastic/Plastic_053.jpg,Plastic_053.jpg,Plastic,5,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_073.jpg,Metal_073.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Organic/Organic_074.jpg,Organic_074.jpg,Organic,3,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Organic/Organic_147.jpg,Organic_147.jpg,Organic,3,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Organic/Organic_071.jpg,Organic_071.jpg,Organic,3,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_058.jpg,B3_058.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Glass/Glass_036.jpg,Glass_036.jpg,Glass,1,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Plastic/Plastic_172.jpg,Plastic_172.jpg,Plastic,5,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_044.jpg,B3_044.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Organic/Organic_043.jpg,Organic_043.jpg,Organic,3,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Organic/Organic_048.jpg,Organic_048.jpg,Organic,3,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_150.jpg,Metal_150.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_178.jpg,B3_178.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Plastic/Plastic_132.jpg,Plastic_132.jpg,Plastic,5,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_040.jpg,Metal_040.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Organic/Organic_082.jpg,Organic_082.jpg,Organic,3,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_138.jpg,B3_138.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Plastic/Plastic_163.jpg,Plastic_163.jpg,Plastic,5,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Plastic/Plastic_097.jpg,Plastic_097.jpg,Plastic,5,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_126.jpg,Metal_126.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Glass/Glass_189.jpg,Glass_189.jpg,Glass,1,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Glass/Glass_132.jpg,Glass_132.jpg,Glass,1,300,300,RGB,train
